latitude,longitude,count
-42.8586,147.5053,2
-42.8576,147.3087,59
-42.8555,147.383,4
-42.8531,147.6226,1
-42.8484,147.3619,36
-42.8462,147.3023,55
-42.8417,147.1961,1
-42.8347,147.3115,6
-42.8334,147.2759,35
-42.8333,147.45,5
-42.8167,147.2,1
-42.8167,147.25,5
-42.8124,147.3565,2
-42.8123,173.2738,2
-42.8088,147.2984,1
-42.7833,147.25,10
-42.7826,147.0587,6
-42.7816,147.5627,3
-42.7776,147.2666,11
-42.7747,172.8473,2
-42.7667,-65.05,44
-42.76,172.9548,4
-42.7372,147.2278,6
-42.7355,147.4383,1
-42.7183,170.9651,2
-42.6926,173.0303,3
-42.687,147.2686,2
-42.6852,171.1127,1
-42.6648,147.4232,1
-42.6505,173.3387,1
-42.6297,147.2234,7
-42.6128,-73.8092,5
-42.5739,172.5659,1
-42.5254,171.2455,4
-42.5167,172.8221,2
-42.4636,-73.8083,17
-42.4491,171.2107,9
-42.4342,-73.5819,1
-42.4066,173.6889,4
-42.4038,172.8612,1
-42.35,-71.1625,1
-42.3351,172.182,1
-42.1653,173.5325,1
-42.1228,148.0743,2
-42.0805,145.5565,3
-42.0667,-71.5,2
-41.9667,-71.5167,5
-41.8743,148.3024,1
-41.8697,-73.8203,10
-41.8066,172.3292,1
-41.8003,172.3257,1
-41.8,172.3333,1
-41.7794,145.5383,3
-41.7703,174.0725,1
-41.768,-73.1273,4
-41.7486,171.5903,9
-41.7321,145.6225,1
-41.6051,147.1189,4
-41.6,-65.3667,2
-41.5834,148.1875,2
-41.5723,147.171,1
-41.5686,147.2527,2
-41.5682,173.8533,5
-41.5456,173.9572,15
-41.5324,147.0103,2
-41.5291,146.8391,2
-41.5248,146.657,3
-41.5093,173.9353,28
-41.5056,173.8293,6
-41.5006,147.0736,3
-41.4698,-72.9447,114
-41.4625,147.2146,2
-41.4551,147.1456,10
-41.4388,147.1347,198
-41.4333,147.1667,7
-41.4204,147.1336,3
-41.4,-73.4833,1
-41.3995,146.339,6
-41.3971,147.1313,5
-41.3876,147.1305,1
-41.3657,147.0458,8
-41.3498,173.1862,4
-41.3457,146.4236,2
-41.3437,173.185,4
